stop_id;stop_name;stop_lat;stop_lon;stop_code;location_type;parent_station;wheelchair_boarding;stop_direction
F00649;Hatvany Lajos utca / Juhász Gyula utca;47.597174;19.063294;F00649;;CSF00649;2;-158
F00650;Hatvany Lajos utca / Juhász Gyula utca;47.596857;19.062550;F00650;;CSF00649;2;84
F00653;Boglár utca;47.594879;19.060568;F00653;;CSF00653;2;-84
F00654;Pünkösdfürdő;47.594473;19.065847;F00654;;CSF00654;2;-85
F00655;Pünkösdfürdő;47.594347;19.066352;F00655;;CSF00654;2;96
F00656;Sinkovits Imre utca;47.589526;19.065593;F00656;;CSF00657;2;5
F00657;Sinkovits Imre utca;47.589969;19.065526;F00657;;CSF00657;1;-173
F00658;Mátyás király út;47.584822;19.065046;F00658;;CSF00659;2;4
F00659;Mátyás király út;47.585110;19.064927;F00659;;CSF00659;2;-175
F00660;Szent János utca;47.579884;19.064141;F00660;;CSF00660;2;10
F00661;Szent János utca;47.578922;19.063742;F00661;;CSF00660;2;-166
F00662;Nimród utca;47.575657;19.062784;F00662;;CSF00662;2;-171
F00663;Nimród utca;47.575585;19.062903;F00663;;CSF00662;2;9
F00664;Nánási út;47.570279;19.061613;;;;2;-176
F00665;Silvanus sétány;47.567193;19.061506;;;;2;179
F00666;Aquincum H;47.567347;19.049359;F00666;;CSF00667;2;-17
F00667;Aquincum H;47.567594;19.048828;F00667;;CSF00667;1;163
F00668;Aquincum H;47.566439;19.049771;F00668;;CSF00667;2;-24
F00669;Laborc utca;47.552288;19.027861;;;;2;175
F00670;Csillaghegyi út / Bojtár utca;47.560510;19.031127;F00670;;CSF00671;2;-64
F00671;Csillaghegyi út / Bojtár utca;47.560950;19.029878;F00671;;CSF00671;2;-171
F00672;Zúzmara utca;47.552215;19.023782;F00672;;CSF00672;2;-32
F00673;Zúzmara utca;47.551793;19.024022;F00673;;CSF00672;2;148
F00674;Verhovina utca;47.554504;19.020356;;;;2;-22
F00676;Szamos utca;47.582924;19.064820;F00676;;CSF00676;2;4
F00677;Szamos utca;47.582061;19.064540;F00677;;CSF00676;2;-172
F00678;Óbudai autóbuszgarázs;47.568014;19.026276;F00678;;CS008360;1;45
F00679;Óbudai autóbuszgarázs;47.568014;19.026023;F00679;;CS008360;1;-80
F00680;Bécsi út / Vörösvári út;47.550094;19.028805;F00680;;CSF00571;2;-21
F00681;Kisbojtár utca;47.559888;19.026769;F00681;;CSF00520;2;-109
F00682;Bercsényi utca;47.585543;19.051486;F00682;;CSF00682;2;-72
F00683;Bercsényi utca;47.585399;19.051925;F00683;;CSF00682;2;95
F00684;Selmeci utca;47.535829;19.033632;F00684;;CSF00686;2;-26
F00685;Selmeci utca;47.535988;19.033395;F00685;;CSF00686;2;152
F00686;Selmeci utca;47.536311;19.033395;F00686;;CSF00686;1;-25
F00687;Selmeci utca;47.535505;19.033659;F00687;;CSF00686;2;152
F00688;Kolostor út;47.533228;19.025770;;;;2;19
F00690;Magnólia utca;47.564746;19.030740;;;;2;-172
F00691;Madridi utca;47.546519;19.097433;F00691;;CSF00692;1;-124
F00692;Madridi utca;47.546636;19.097633;F00692;;CSF00692;1;13
F00693;Angyalföld kocsiszín (Madridi utca);47.551158;19.091727;F00693;;CSF00693;2;14
F00697;Fóti út;47.582435;19.081610;F00697;;CSF00698;2;-177
F00698;Fóti út;47.583613;19.081930;F00698;;CSF00698;2;3
F00699;Újpest, Fóti út;47.582654;19.082339;F00699;;CSF00698;1;
F00700;Tímár utca;47.572325;19.080806;F00700;;CSF00701;2;-177
F00701;Tímár utca;47.572379;19.080952;F00701;;CSF00701;2;4
F00702;Zsilip utca;47.567927;19.080019;F00702;;CSF00703;2;-166
F00703;Zsilip utca;47.568812;19.080470;F00703;;CSF00703;1;9
F00704;Károlyi István utca;47.565589;19.079234;F00704;;CSF00704;2;-167
F00705;Károlyi István utca;47.564953;19.079213;F00705;;CSF00704;2;13
F00706;Újpest, Árpád út hajóállomás;47.562108;19.078448;F00706;;CS044557;2;-2
F00707;Megyer, Julianus barát utca;47.584925;19.086158;;;;2;
F00708;Gárdonyi Géza utca;47.584240;19.090438;;;;2;120
F00709;Megyeri temető;47.582531;19.090796;F00709;;CSF00709;2;-144
F00710;Megyeri temető;47.581488;19.089851;F00710;;CSF00709;2;36
F00711;Fiumei út;47.582551;19.085997;;;;2;5
F00712;Megyeri út / Fóti út;47.579636;19.088653;F00712;;CSF00709;2;126
F00713;Megyeri út / Fóti út;47.579420;19.087510;F00713;;CSF00709;2;-143
F00714;Megyeri út / Fóti út;47.580346;19.088667;F00714;;CSF00709;2;35
F00715;Megyeri út;47.579680;19.088999;F00715;;CSF00709;2;-54
F00716;Megyer, Szondi utca;47.585851;19.094704;F00716;;CSF00718;2;
F00717;Megyer, Szondi utca;47.585660;19.094149;F00717;;CSF00718;2;-135
F00718;Megyer, Szondi utca;47.586289;19.095027;F00718;;CSF00718;2;37
F00720;Homoktövis utca;47.593997;19.113808;F00720;;CS009047;2;-74
F00721;Megyeri út;47.593908;19.113702;;;;2;103
F00722;Káposztásmegyer, Mogyoródi-patak;47.598499;19.121261;F00722;;CS009536;2;-79
F00723;Káposztásmegyer, Megyeri út;47.593184;19.120070;F00723;;CSF00725;2;-166
F00724;Megyeri út;47.593175;19.120230;F00724;;CSF00725;2;13
F00725;Káposztásmegyer, Megyeri út;47.593420;19.120491;F00725;;CSF00725;2;
F00726;Szíjgyártó utca;47.589230;19.114919;F00726;;CSF00726;2;50
F00727;Szíjgyártó utca;47.588852;19.114108;F00727;;CSF00726;2;-132
F00728;Homoktövis utca;47.589417;19.118310;F00728;;CSF00729;2;113
F00729;Homoktövis utca (Óvoda);47.590047;19.117354;F00729;;CSF00729;2;-50
F00730;Gimnázium;47.582749;19.106177;F00730;;CSF00730;2;34
F00731;Gimnázium;47.582677;19.105938;F00731;;CSF00730;2;-148
F00732;Művelődési Központ;47.579780;19.109258;F00732;;CSF00732;2;-61
F00733;Művelődési Központ;47.579717;19.109072;F00733;;CSF00732;2;121
F00734;Járműtelep utca;47.582932;19.116746;F00734;;CSF00734;2;-10
F00735;Járműtelep utca;47.582539;19.117047;F00735;;CSF00734;2;2
